tanggal,komoditas,harga
2015/04/23,IR I,9000
2015/04/24,IR I,9000
2015/04/25,IR I,9000
2015/04/26,IR I,9000
2015/04/27,IR I,9000
2015/04/28,IR I,9000
2015/04/29,IR I,9000
2015/04/23,IR II,8100
2015/04/24,IR II,8100
2015/04/25,IR II,8100
2015/04/26,IR II,8100
2015/04/27,IR II,8100
2015/04/28,IR II,8100
2015/04/29,IR II,8100
2015/04/23,IR III,7500
2015/04/24,IR III,7500
2015/04/25,IR III,7500
2015/04/26,IR III,7500
2015/04/27,IR III,7500
2015/04/28,IR III,7500
2015/04/29,IR III,7500
2015/04/23,Muncul I,10000
2015/04/24,Muncul I,10000
2015/04/25,Muncul I,10000
2015/04/26,Muncul I,10000
2015/04/27,Muncul I,10000
2015/04/28,Muncul I,10000
2015/04/29,Muncul I,10000
2015/04/23,IR 42,10500
2015/04/24,IR 42,10500
2015/04/25,IR 42,10500
2015/04/26,IR 42,10500
2015/04/27,IR 42,10000
2015/04/28,IR 42,10000
2015/04/29,IR 42,10000
2015/04/23,Setra,11850
2015/04/24,Setra,11850
2015/04/25,Setra,11850
2015/04/26,Setra,11850
2015/04/27,Setra,11850
2015/04/28,Setra,11850
2015/04/29,Setra,11850
2015/04/23,Cabe Merah Keriting,13000
2015/04/24,Cabe Merah Keriting,13000
2015/04/25,Cabe Merah Keriting,13000
2015/04/26,Cabe Merah Keriting,14000
2015/04/27,Cabe Merah Keriting,16000
2015/04/28,Cabe Merah Keriting,18000
2015/04/29,Cabe Merah Keriting,21000
2015/04/23,Cabe Merah/TW,17000
2015/04/24,Cabe Merah/TW,19000
2015/04/25,Cabe Merah/TW,21000
2015/04/26,Cabe Merah/TW,21000
2015/04/27,Cabe Merah/TW,21000
2015/04/28,Cabe Merah/TW,23000
2015/04/29,Cabe Merah/TW,25000
2015/04/23,Cabe Rawit Merah,16000
2015/04/24,Cabe Rawit Merah,15000
2015/04/25,Cabe Rawit Merah,16000
2015/04/26,Cabe Rawit Merah,17000
2015/04/27,Cabe Rawit Merah,17000
2015/04/28,Cabe Rawit Merah,18000
2015/04/29,Cabe Rawit Merah,18000
2015/04/23,Cabe Rawit Hijau,9000
2015/04/24,Cabe Rawit Hijau,10000
2015/04/25,Cabe Rawit Hijau,9000
2015/04/26,Cabe Rawit Hijau,9000
2015/04/27,Cabe Rawit Hijau,9000
2015/04/28,Cabe Rawit Hijau,9000
2015/04/29,Cabe Rawit Hijau,9000
2015/04/23,Bawang Merah,19000
2015/04/24,Bawang Merah,19000
2015/04/25,Bawang Merah,19000
2015/04/26,Bawang Merah,20000
2015/04/27,Bawang Merah,20000
2015/04/28,Bawang Merah,20000
2015/04/29,Bawang Merah,22000
