tanggal,komoditas,harga
2015/06/18,IR I,9550
2015/06/19,IR I,9550
2015/06/20,IR I,9550
2015/06/21,IR I,9550
2015/06/22,IR I,9600
2015/06/23,IR I,9600
2015/06/24,IR I,9600
2015/06/18,IR II,8700
2015/06/19,IR II,8700
2015/06/20,IR II,8700
2015/06/21,IR II,8700
2015/06/22,IR II,8800
2015/06/23,IR II,8800
2015/06/24,IR II,8700
2015/06/18,IR III,8200
2015/06/19,IR III,8200
2015/06/20,IR III,8200
2015/06/21,IR III,8200
2015/06/22,IR III,8300
2015/06/23,IR III,8300
2015/06/24,IR III,8200
2015/06/18,Muncul I,9600
2015/06/19,Muncul I,9600
2015/06/20,Muncul I,9600
2015/06/21,Muncul I,9600
2015/06/22,Muncul I,9600
2015/06/23,Muncul I,9600
2015/06/24,Muncul I,9600
2015/06/18,IR 42,9000
2015/06/19,IR 42,9000
2015/06/20,IR 42,9000
2015/06/21,IR 42,9000
2015/06/22,IR 42,9000
2015/06/23,IR 42,9000
2015/06/24,IR 42,9000
2015/06/18,Setra,11500
2015/06/19,Setra,11500
2015/06/20,Setra,11500
2015/06/21,Setra,11500
2015/06/22,Setra,11500
2015/06/23,Setra,11500
2015/06/24,Setra,11500
2015/06/18,Cabe Merah Keriting ,29000
2015/06/19,Cabe Merah Keriting ,32000
2015/06/20,Cabe Merah Keriting ,30000
2015/06/21,Cabe Merah Keriting ,30000
2015/06/22,Cabe Merah Keriting ,22000
2015/06/23,Cabe Merah Keriting ,16000
2015/06/24,Cabe Merah Keriting ,18000
2015/06/18,Cabe Merah/TW,29000
2015/06/19,Cabe Merah/TW,32000
2015/06/20,Cabe Merah/TW,31000
2015/06/21,Cabe Merah/TW,30000
2015/06/22,Cabe Merah/TW,28000
2015/06/23,Cabe Merah/TW,27000
2015/06/24,Cabe Merah/TW,20000
2015/06/18,Cabe Rawit Merah ,21000
2015/06/19,Cabe Rawit Merah ,27000
2015/06/20,Cabe Rawit Merah ,18000
2015/06/21,Cabe Rawit Merah ,15000
2015/06/22,Cabe Rawit Merah ,15000
2015/06/23,Cabe Rawit Merah ,13000
2015/06/24,Cabe Rawit Merah ,11000
2015/06/18,Cabe Rawit Hijau,20000
2015/06/19,Cabe Rawit Hijau,28000
2015/06/20,Cabe Rawit Hijau,24000
2015/06/21,Cabe Rawit Hijau,27000
2015/06/22,Cabe Rawit Hijau,25000
2015/06/23,Cabe Rawit Hijau,22000
2015/06/24,Cabe Rawit Hijau,18000
2015/06/18,Bawang Merah,21000
2015/06/19,Bawang Merah,22000
2015/06/20,Bawang Merah,22000
2015/06/21,Bawang Merah,21000
2015/06/22,Bawang Merah,20000
2015/06/23,Bawang Merah,20000
2015/06/24,Bawang Merah,18000
